order_id,order_date,ship_mode,segment,country,city,state,region,category,sub_category,product_id,cost_price,sale_price,quantity,discount_percent,year,month,cost,sales,profit
72,2022-12-18,Second Class,Consumer,United States,Jackson,Michigan,Central,Office Supplies,Paper,OFF-PA-10004675,20,20,3,3,2022,12,60,58.199999999999996,-1.8000000000000043
73,2023-03-07,Standard Class,Consumer,United States,Memphis,Tennessee,South,Furniture,Chairs,FUR-CH-10000513,790,830,8,2,2023,3,6320,6507.2,187.19999999999982
74,2023-07-12,Standard Class,Consumer,United States,Memphis,Tennessee,South,Furniture,Furnishings,FUR-FU-10003708,90,100,2,3,2023,7,180,194.0,14.0
75,2022-10-21,Standard Class,Consumer,United States,Memphis,Tennessee,South,Office Supplies,Storage,OFF-ST-10004123,60,70,1,2,2022,10,60,68.6,8.599999999999994
76,2023-04-17,First Class,Corporate,United States,Houston,Texas,Central,Office Supplies,Binders,OFF-BI-10004182,0,0,3,4,2023,4,0,0.0,0.0
77,2023-05-20,First Class,Corporate,United States,Houston,Texas,Central,Furniture,Furnishings,FUR-FU-10000260,10,10,3,4,2023,5,30,28.799999999999997,-1.2000000000000028
78,2023-05-13,First Class,Corporate,United States,Houston,Texas,Central,Office Supplies,Storage,OFF-ST-10000615,20,30,3,2,2023,5,60,88.2,28.200000000000003
79,2022-10-20,Second Class,Consumer,United States,Houston,Texas,Central,Furniture,Furnishings,FUR-FU-10003194,20,20,5,2,2022,10,100,98.0,-2.0
80,2023-10-22,First Class,Corporate,United States,Decatur,Alabama,South,Office Supplies,Appliances,OFF-AP-10002118,190,210,1,3,2023,10,190,203.7,13.699999999999989
81,2022-07-20,First Class,Corporate,United States,Decatur,Alabama,South,Office Supplies,Binders,OFF-BI-10002309,20,20,3,2,2022,7,60,58.8,-1.2000000000000028
82,2022-11-16,Standard Class,Consumer,United States,San Francisco,California,West,Office Supplies,Art,OFF-AR-10002053,10,10,5,5,2022,11,50,47.5,-2.5
83,2022-11-10,Standard Class,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,OFF-ST-10002370,20,20,1,4,2022,11,20,19.2,-0.8000000000000007
84,2022-03-15,Standard Class,Corporate,United States,Durham,North Carolina,South,Office Supplies,Envelopes,OFF-EN-10000927,180,200,7,3,2022,3,1260,1358.0,98.0
85,2023-10-03,First Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Storage,OFF-ST-10003656,210,230,3,2,2023,10,630,676.1999999999999,46.19999999999993
86,2022-03-20,Second Class,Consumer,United States,Columbia,South Carolina,South,Furniture,Chairs,FUR-CH-10000863,260,300,2,5,2022,3,520,570.0,50.0
87,2023-12-04,Standard Class,Consumer,United States,Rochester,Minnesota,Central,Technology,Accessories,TEC-AC-10001998,20,20,1,5,2023,12,20,19.0,-1.0
88,2023-11-24,Standard Class,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Labels,OFF-LA-10000134,10,10,2,5,2023,11,20,19.0,-1.0
89,2023-12-30,Second Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Storage,OFF-ST-10003442,140,160,7,5,2023,12,980,1064.0,84.0
90,2022-05-23,Standard Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Art,OFF-AR-10004930,20,20,3,2,2022,5,60,58.8,-1.2000000000000028
91,2023-04-06,Standard Class,Corporate,United States,Los Angeles,California,West,Technology,Phones,TEC-PH-10004093,60,70,2,2,2023,4,120,137.2,17.19999999999999
92,2022-03-23,Standard Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Paper,OFF-PA-10000304,10,10,1,2,2022,3,10,9.8,-0.1999999999999993
93,2023-04-07,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Paper,OFF-PA-10003177,10,10,2,2,2023,4,20,19.6,-0.3999999999999986
94,2022-05-13,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,Furniture,Furnishings,FUR-FU-10003799,50,50,3,5,2022,5,150,142.5,-7.5
95,2022-04-23,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Binders,OFF-BI-10002852,20,30,2,3,2022,4,40,58.199999999999996,18.199999999999996
96,2023-12-17,Standard Class,Home Office,United States,Portland,Oregon,West,Office Supplies,Binders,OFF-BI-10004738,10,10,1,2,2023,12,10,9.8,-0.1999999999999993
97,2022-04-28,Second Class,Home Office,United States,New York City,New York,East,Furniture,Furnishings,FUR-FU-10000629,80,100,7,5,2022,4,560,665.0,105.0
98,2023-06-14,First Class,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,OFF-BI-10001721,40,50,3,4,2023,6,120,144.0,24.0
99,2023-02-05,Standard Class,Corporate,United States,Saint Paul,Minnesota,Central,Office Supplies,Appliances,OFF-AP-10000358,70,80,6,3,2023,2,420,465.59999999999997,45.599999999999966
100,2023-12-30,Standard Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Paper,OFF-PA-10003256,60,60,7,3,2023,12,420,407.4,-12.600000000000023
101,2022-02-24,Standard Class,Home Office,United States,Chicago,Illinois,Central,Technology,Accessories,TEC-AC-10001767,80,100,3,5,2022,2,240,285.0,45.0
102,2022-07-25,Standard Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,OFF-BI-10002609,0,0,3,3,2022,7,0,0.0,0.0
103,2022-01-14,Second Class,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Paper,OFF-PA-10004040,20,20,4,4,2022,1,80,76.8,-3.200000000000003
104,2022-12-22,Standard Class,Consumer,United States,Aurora,Colorado,West,Technology,Accessories,TEC-AC-10001552,220,240,6,3,2022,12,1320,1396.8,76.79999999999995
105,2022-06-09,Standard Class,Consumer,United States,Aurora,Colorado,West,Furniture,Furnishings,FUR-FU-10004006,90,100,3,5,2022,6,270,285.0,15.0
106,2023-10-28,Standard Class,Consumer,United States,Aurora,Colorado,West,Office Supplies,Binders,OFF-BI-10002794,30,40,3,5,2023,10,90,114.0,24.0
107,2022-10-18,Standard Class,Consumer,United States,Charlotte,North Carolina,South,Technology,Accessories,TEC-AC-10003499,60,70,8,5,2022,10,480,532.0,52.0
108,2022-11-23,Standard Class,Consumer,United States,Charlotte,North Carolina,South,Technology,Phones,TEC-PH-10002844,30,30,1,3,2022,11,30,29.099999999999998,-0.9000000000000021
109,2023-10-12,Standard Class,Consumer,United States,Charlotte,North Carolina,South,Office Supplies,Art,OFF-AR-10000390,0,0,1,3,2023,10,0,0.0,0.0
110,2023-03-17,Standard Class,Home Office,United States,Orland Park,Illinois,Central,Technology,Accessories,TEC-AC-10000844,290,340,5,2,2023,3,1450,1666.0,216.0
111,2023-09-05,Standard Class,Corporate,United States,New York City,New York,East,Furniture,Furnishings,FUR-FU-10001934,30,40,2,2,2023,9,60,78.4,18.400000000000006
112,2022-01-28,Standard Class,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Art,OFF-AR-10000380,70,80,2,3,2022,1,140,155.2,15.199999999999989
113,2022-12-26,Standard Class,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Binders,OFF-BI-10003981,30,30,6,3,2022,12,180,174.6,-5.400000000000006
114,2023-06-06,Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Fasteners,OFF-FA-10000621,40,40,14,2,2023,6,560,548.8,-11.200000000000045
115,2023-11-08,Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,OFF-EN-10002600,0,0,2,4,2023,11,0,0.0,0.0
116,2022-11-15,Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Paper,OFF-PA-10004965,20,20,3,4,2022,11,60,57.599999999999994,-2.4000000000000057
117,2022-06-30,Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,OFF-EN-10002504,120,130,6,5,2022,6,720,741.0,21.0
118,2023-10-27,Standard Class,Consumer,United States,Seattle,Washington,West,Furniture,Tables,FUR-TA-10001768,720,790,3,4,2023,10,2160,2275.2,115.19999999999982
119,2023-07-19,unknown,Corporate,United States,Bristol,Tennessee,South,Office Supplies,Binders,OFF-BI-10003650,140,160,1,5,2023,7,140,152.0,12.0
120,2023-03-30,First Class,Consumer,United States,Wilmington,Delaware,East,Furniture,Furnishings,FUR-FU-10002157,50,50,3,3,2023,3,150,145.5,-4.5
121,2022-03-03,First Class,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Binders,OFF-BI-10003910,20,30,4,2,2022,3,80,117.6,37.599999999999994
122,2022-10-20,First Class,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Storage,OFF-ST-10000777,190,230,6,2,2022,10,1140,1352.3999999999999,212.39999999999986
123,2023-01-23,First Class,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Envelopes,OFF-EN-10002500,110,120,9,4,2023,1,990,1036.8,46.799999999999955
124,2023-01-21,First Class,Consumer,United States,Wilmington,Delaware,East,Technology,Phones,TEC-PH-10003875,60,70,7,2,2023,1,420,480.2,60.19999999999999
125,2023-07-18,Second Class,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,FUR-CH-10004063,550,600,3,3,2023,7,1650,1746.0,96.0
126,2023-07-15,Standard Class,Consumer,United States,Bloomington,Illinois,Central,Furniture,Tables,FUR-TA-10004534,540,620,6,4,2023,7,3240,3571.2,331.1999999999998
127,2022-07-14,Standard Class,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Binders,OFF-BI-10003274,0,0,2,4,2022,7,0,0.0,0.0
128,2023-03-30,Standard Class,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Storage,OFF-ST-10002974,200,240,7,4,2023,3,1400,1612.8,212.79999999999995
129,2023-09-18,Second Class,Home Office,United States,Los Angeles,California,West,Furniture,Chairs,FUR-CH-10001146,70,80,2,2,2023,9,140,156.8,16.80000000000001
130,2022-01-03,Second Class,Home Office,United States,Los Angeles,California,West,Furniture,Furnishings,FUR-FU-10003773,220,240,3,4,2022,1,660,691.1999999999999,31.199999999999932
131,2022-07-17,First Class,Corporate,United States,Columbus,Ohio,East,Technology,Phones,TEC-PH-10002293,50,60,5,3,2022,7,250,291.0,41.0
132,2022-03-30,First Class,Corporate,United States,Columbus,Ohio,East,Office Supplies,Paper,OFF-PA-10002377,80,80,2,4,2022,3,160,153.6,-6.400000000000006
133,2022-05-01,First Class,Corporate,United States,Columbus,Ohio,East,Office Supplies,Fasteners,OFF-FA-10002780,20,20,9,5,2022,5,180,171.0,-9.0
134,2023-04-29,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Paper,OFF-PA-10001804,20,20,3,4,2023,4,60,57.599999999999994,-2.4000000000000057
135,2022-10-28,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Paper,OFF-PA-10001736,30,40,1,5,2022,10,30,38.0,8.0
136,2022-03-05,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Art,OFF-AR-10001149,10,10,4,5,2022,3,40,38.0,-2.0
137,2022-03-28,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Fasteners,OFF-FA-10002988,0,0,2,5,2022,3,0,0.0,0.0
138,2023-10-16,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Binders,OFF-BI-10004781,70,80,3,2,2023,10,210,235.2,25.19999999999999
139,2022-05-15,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Supplies,OFF-SU-10001218,60,70,6,5,2022,5,360,399.0,39.0
140,2023-06-06,Standard Class,Consumer,United States,Roseville,California,West,Furniture,Furnishings,FUR-FU-10001706,40,40,14,2,2023,6,560,548.8,-11.200000000000045
141,2022-06-10,Second Class,Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,FUR-FU-10004848,60,80,2,2,2022,6,120,156.8,36.80000000000001
142,2022-07-22,Standard Class,Corporate,United States,San Francisco,California,West,Office Supplies,Art,OFF-AR-10000940,10,10,3,3,2022,7,30,29.099999999999998,-0.9000000000000021
143,2023-12-27,Standard Class,Corporate,United States,San Francisco,California,West,Office Supplies,Envelopes,OFF-EN-10004030,10,10,3,2,2023,12,30,29.4,-0.6000000000000014
144,2023-11-29,Standard Class,Corporate,United States,San Francisco,California,West,Office Supplies,Paper,OFF-PA-10004327,130,140,3,5,2023,11,390,399.0,9.0
145,2022-03-19,Standard Class,Consumer,United States,Independence,Missouri,Central,Office Supplies,Appliances,OFF-AP-10001058,780,840,3,2,2022,3,2340,2469.6,129.5999999999999
146,2023-06-04,Standard Class,Consumer,United States,Pasadena,California,West,Office Supplies,Storage,OFF-ST-10003656,600,670,7,3,2023,6,4200,4549.3,349.3000000000002
147,2023-05-31,Standard Class,Home Office,United States,Newark,Ohio,East,Furniture,Furnishings,FUR-FU-10000521,80,90,4,4,2023,5,320,345.59999999999997,25.599999999999966
148,2022-06-12,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,TEC-PH-10000215,350,380,11,4,2022,6,3850,4012.7999999999997,162.79999999999973
149,2022-05-18,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,TEC-PH-10001448,140,150,3,5,2022,5,420,427.5,7.5
150,2022-01-23,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Furniture,Chairs,FUR-CH-10000454,1580,1950,8,3,2022,1,12640,15132.0,2492.0
151,2023-08-21,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Office Supplies,Binders,OFF-BI-10002735,150,170,5,4,2023,8,750,816.0,66.0
152,2023-08-31,First Class,Home Office,United States,Scottsdale,Arizona,West,Office Supplies,Appliances,OFF-AP-10000326,140,160,5,5,2023,8,700,760.0,60.0
153,2022-10-25,First Class,Home Office,United States,Scottsdale,Arizona,West,Technology,Phones,TEC-PH-10001254,160,200,2,2,2022,10,320,392.0,72.0
154,2022-10-07,First Class,Corporate,United States,San Jose,California,West,Office Supplies,Paper,OFF-PA-10001950,50,60,7,4,2022,10,350,403.2,53.19999999999999
155,2023-03-25,First Class,Corporate,United States,San Jose,California,West,Office Supplies,Paper,OFF-PA-10002254,100,110,4,4,2023,3,400,422.4,22.399999999999977
156,2023-03-27,First Class,Corporate,United States,San Jose,California,West,Office Supplies,Storage,OFF-ST-10001590,60,80,6,4,2023,3,360,460.79999999999995,100.79999999999995
157,2022-05-03,Standard Class,Home Office,United States,Seattle,Washington,West,Office Supplies,Art,OFF-AR-10001547,10,10,3,3,2022,5,30,29.099999999999998,-0.9000000000000021
158,2022-05-18,Second Class,Consumer,United States,Seattle,Washington,West,Furniture,Chairs,FUR-CH-10004063,380,460,2,2,2022,5,760,901.6,141.60000000000002
159,2022-04-25,Standard Class,Consumer,United States,Edmond,Oklahoma,Central,Office Supplies,Labels,OFF-LA-10002475,10,10,2,3,2022,4,20,19.4,-0.6000000000000014
160,2022-06-30,Standard Class,Consumer,United States,Edmond,Oklahoma,Central,Technology,Phones,TEC-PH-10004536,870,940,7,5,2022,6,6090,6251.0,161.0
161,2022-01-10,First Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,OFF-PA-10002751,10,10,1,4,2022,1,10,9.6,-0.40000000000000036
162,2023-11-27,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Accessories,TEC-AC-10003657,40,50,2,5,2023,11,80,95.0,15.0
163,2022-02-16,Standard Class,Consumer,United States,Carlsbad,New Mexico,West,Office Supplies,Envelopes,OFF-EN-10001990,30,30,5,4,2022,2,150,144.0,-6.0
164,2022-08-14,Standard Class,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,OFF-BI-10004002,20,30,2,3,2022,8,40,58.199999999999996,18.199999999999996
165,2023-10-14,Standard Class,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Art,OFF-AR-10004441,10,10,3,5,2023,10,30,28.5,-1.5
166,2022-10-16,Standard Class,Consumer,United States,San Antonio,Texas,Central,Technology,Machines,TEC-MA-10000822,6850,8160,8,4,2022,10,54800,62668.799999999996,7868.799999999996
167,2022-11-20,Standard Class,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Storage,OFF-ST-10000991,250,280,3,4,2022,11,750,806.4,56.39999999999998
